,city,state,room_type,security_deposit,guests_included,extra_people,minimum_nights,maximum_nights,review_scores_rating
51780,SAN DIEGO,CA,Entire home/apt,500,14,20,4,90,40
51781,CUPERTINO,CA,Entire home/apt,500,1,0,30,1125,90
51782,AUSTIN,TX,Private room,0,1,0,1,1125,100
51783,LOS ANGELES,CA,Entire home/apt,100,2,20,30,1125,100
51784,KAPAA,HI,Entire home/apt,500,1,0,3,45,95
51785,LOS ANGELES,CA,Shared room,0,2,15,5,90,99
51786,AUSTIN,TX,Entire home/apt,250,4,20,2,31,100
51787,BROOKLYN,NY,Private room,0,1,20,2,1125,80
51788,WASHINGTON,DC,Entire home/apt,0,2,40,1,500,96
51789,SEATTLE,WA,Entire home/apt,500,4,20,30,1125,95
51790,NEW ORLEANS,LA,Entire home/apt,100,1,0,30,1125,89
51791,HONOLULU,HI,Entire home/apt,200,1,0,30,300,89
51792,NEW YORK,NY,Entire home/apt,150,5,50,3,1125,99
51793,AUSTIN,TX,Entire home/apt,0,1,0,2,90,100
51794,AUSTIN,TX,Private room,0,1,5,1,1125,100
51795,LOS ANGELES,CA,Entire home/apt,150,4,45,4,30,96
51796,CALABASAS,CA,Private room,0,1,0,4,28,100
51797,INGLEWOOD,CA,Private room,0,1,0,2,1125,96
51798,WEST HOLLYWOOD,CA,Entire home/apt,1000,1,0,31,1125,90
51799,PORTLAND,OR,Entire home/apt,200,4,0,2,30,98
51800,NEW YORK,NY,Shared room,0,1,15,1,1125,100
51801,HANALEI,HI,Entire home/apt,430,4,0,3,30,100
51802,NASHVILLE,TN,Entire home/apt,0,2,10,1,1125,85
51803,SAN FRANCISCO,CA,Private room,0,1,50,1,10,100
51804,SEATTLE,WA,Entire home/apt,500,6,25,30,200,92
51805,CHICAGO,IL,Entire home/apt,0,1,0,3,30,97
51806,COLUMBUS,OH,Entire home/apt,1000,5,25,1,1125,98
51807,SAN DIEGO,CA,Private room,0,2,30,2,30,95
51808,HALEIWA,HI,Entire home/apt,500,6,25,5,365,98
51809,CHICAGO,IL,Entire home/apt,500,8,25,2,1125,98
51810,WASHINGTON,DC,Private room,0,1,0,14,1125,92
51811,PRINCEVILLE,HI,Entire home/apt,300,2,15,1,1125,98
51812,NASHVILLE,TN,Entire home/apt,200,1,0,3,30,98
51813,PORTLAND,OR,Private room,0,1,15,3,180,94
51814,SAN DIEGO,CA,Entire home/apt,200,1,0,2,1125,94
51815,PORTLAND,OR,Private room,100,1,10,7,120,96
51816,HERMOSA BEACH,CA,Entire home/apt,0,1,0,2,300,100
51817,SAN DIEGO,CA,Private room,150,1,0,1,30,96
51818,SANTA MONICA,CA,Entire home/apt,1000,8,75,2,45,99
51819,SAN DIEGO,CA,Private room,200,1,45,1,1125,89
51820,SAN DIEGO,CA,Entire home/apt,199,2,15,2,1125,92
51821,WASHINGTON,DC,Entire home/apt,495,3,20,30,365,100
51822,BROOKLYN,NY,Private room,100,1,10,1,1125,86
51823,NEW YORK,NY,Private room,0,3,50,7,180,98
51824,NEW YORK,NY,Entire home/apt,500,4,25,7,365,99
51825,SANTA MONICA,CA,Entire home/apt,0,1,0,10,1125,99
51826,NEW YORK,NY,Entire home/apt,0,1,15,4,12,97
51827,NASHVILLE,TN,Entire home/apt,0,1,0,1,1125,95
51828,CHULA VISTA,CA,Private room,0,1,0,2,1125,100
51829,KIHEI,HI,Entire home/apt,0,6,0,3,30,100
51830,CHICAGO,IL,Entire home/apt,250,4,25,3,1125,92
51831,HANA,HI,Entire home/apt,0,4,25,1,1125,98
51832,NEW YORK,NY,Private room,0,2,25,1,6,90
